ticker,name,days_since_ipo,morningstar_sector,morningstar_industry,fossil_fuels,weapons,tobacco
ROL,Rollins Inc,20556,Consumer Cyclical,Personal Services,FALSE,FALSE,FALSE
ROP,Roper Technologies Inc,10248,Technology,Software - Application,FALSE,FALSE,FALSE
ROST,Ross Stores Inc,14350,Consumer Cyclical,Apparel Retail,FALSE,FALSE,FALSE
RSG,Republic Services Inc,9641,Industrials,Waste Management,FALSE,FALSE,FALSE
RTX,RTX Corp,26845,Industrials,Aerospace & Defense,FALSE,TRUE,FALSE
RVTY,Revvity Inc,15206,Healthcare,Diagnostics & Research,FALSE,FALSE,FALSE
SBAC,SBA Communications Corp,9291,Real Estate,REIT - Specialty,FALSE,FALSE,FALSE
SBUX,Starbucks Corp,11837,Consumer Cyclical,Restaurants,FALSE,FALSE,FALSE
SCHW,Charles Schwab Corp,13568,Financial Services,Capital Markets,FALSE,FALSE,FALSE
SHW,Sherwin-Williams Co,22200,Basic Materials,Specialty Chemicals,FALSE,FALSE,FALSE
SJM,JM Smucker Co,10980,Consumer Defensive,Packaged Foods,FALSE,FALSE,FALSE
SLB,Schlumberger Ltd,22939,Energy,Oil & Gas Equipment & Services,TRUE,FALSE,FALSE
SMCI,Super Micro Computer Inc,6448,Technology,Computer Hardware,FALSE,FALSE,FALSE
SNA,Snap-on Inc,17070,Industrials,Tools & Accessories,FALSE,FALSE,FALSE
SNPS,Synopsys Inc,11952,Technology,Software - Infrastructure,FALSE,FALSE,FALSE
SO,Southern Co,27443,Utilities,Utilities - Regulated Electric,TRUE,FALSE,FALSE
SOLV,Solventum Corp,241,Healthcare,Health Information Services,FALSE,FALSE,FALSE
SPG,Simon Property Group Inc,11301,Real Estate,REIT - Retail,FALSE,FALSE,FALSE
SPGI,S&P Global Inc,34980,Financial Services,Financial Data & Stock Exchanges,FALSE,FALSE,FALSE
SRE,Sempra,9643,Utilities,Utilities - Diversified,TRUE,FALSE,FALSE
STE,Steris PLC,11861,Healthcare,Medical Devices,FALSE,FALSE,FALSE
STLD,Steel Dynamics Inc,10227,Basic Materials,Steel,FALSE,FALSE,FALSE
STT,State Street Corp,10874,Financial Services,Asset Management,FALSE,FALSE,FALSE
STX,Seagate Technology Holdings PLC,8017,Technology,Computer Hardware,FALSE,FALSE,FALSE
STZ,Constellation Brands Inc,13994,Consumer Defensive,Beverages - Brewers,FALSE,FALSE,FALSE
SW,Smurfit WestRock PLC,6070,Consumer Cyclical,Packaging & Containers,FALSE,FALSE,TRUE
SWK,Stanley Black & Decker Inc,21345,Industrials,Tools & Accessories,FALSE,FALSE,FALSE
SWKS,Skyworks Solutions Inc,14686,Technology,Semiconductors,FALSE,FALSE,FALSE
SYF,Synchrony Financial,3767,Financial Services,Credit Services,FALSE,FALSE,FALSE
SYK,Stryker Corp,13444,Healthcare,Medical Devices,FALSE,FALSE,FALSE
